section	dup	bytes	file	alt
cover	0	1955000	cover-01-img.png	
pmf	0	4955	pmf-02-服务空白度与规模化程度二维矩阵-一站式代理服务位于高规模化-高服务空白象限.svg	服务空白度与规模化程度二维矩阵：一站式代理服务位于高规模化、高服务空白象限
transport	0	654839	transport-03-宠物装入软包进入飞机客舱.jpg	宠物装入软包进入飞机客舱
transport	1	654839	transport-03-宠物装入软包进入飞机客舱.jpg	宠物装入软包进入飞机客舱
transport	1	654839	transport-03-宠物装入软包进入飞机客舱.jpg	软包内的客舱宠物
transport	0	162011	transport-04-多只宠物犬在飞机客舱座位旁陪伴主人出行.jpg	多只宠物犬在飞机客舱座位旁陪伴主人出行
transport	1	162011	transport-04-多只宠物犬在飞机客舱座位旁陪伴主人出行.jpg	宠物犬在飞机客舱内
transport	0	160556	transport-05-大型犬乘坐首都航空杭州至三亚航班的费用与登机清单.jpg	大型犬乘坐首都航空杭州至三亚航班的费用与登机清单
transport	1	160556	transport-05-大型犬乘坐首都航空杭州至三亚航班的费用与登机清单.jpg	大型犬客舱出行费用与清单
transport	0	197884	transport-06-航空箱在机场完成固定与交运.jpg	航空箱在机场完成固定与交运
transport	1	197884	transport-06-航空箱在机场完成固定与交运.jpg	航空箱在机场完成固定与交运
transport	1	197884	transport-06-航空箱在机场完成固定与交运.jpg	航空箱固定
transport	0	274333	transport-07-工作人员装卸宠物航空箱.jpg	工作人员装卸宠物航空箱
transport	1	274333	transport-07-工作人员装卸宠物航空箱.jpg	机场装卸
transport	0	222057	transport-08-飞机前后货舱位置说明.jpg	飞机前后货舱位置说明
transport	1	222057	transport-08-飞机前后货舱位置说明.jpg	货舱位置说明
transport	0	226847	transport-09-飞机有氧货舱说明.jpg	飞机有氧货舱说明
transport	1	226847	transport-09-飞机有氧货舱说明.jpg	有氧货舱说明
transport	0	137556	transport-10-飞机货舱内部环境.jpg	飞机货舱内部环境
transport	1	137556	transport-10-飞机货舱内部环境.jpg	货舱内部
transport	0	228545	transport-11-货舱内的多个宠物航空箱.jpg	货舱内的多个宠物航空箱
transport	1	228545	transport-11-货舱内的多个宠物航空箱.jpg	货舱航空箱
transport	0	177937	transport-12-飞机货舱装载空间.jpg	飞机货舱装载空间
transport	1	177937	transport-12-飞机货舱装载空间.jpg	货舱装载空间
transport	0	260891	transport-13-机场内等待交运的宠物航空箱.jpg	机场内等待交运的宠物航空箱
transport	1	260891	transport-13-机场内等待交运的宠物航空箱.jpg	等待交运
transport	0	248912	transport-14-高铁宠物运输箱的温湿度与氧气监控.jpg	高铁宠物运输箱的温湿度与氧气监控
transport	1	248912	transport-14-高铁宠物运输箱的温湿度与氧气监控.jpg	高铁宠物运输箱的温湿度与氧气监控
transport	1	248912	transport-14-高铁宠物运输箱的温湿度与氧气监控.jpg	环境监控屏
transport	0	365836	transport-15-高铁行李车厢内的宠物专用运输箱.jpg	高铁行李车厢内的宠物专用运输箱
transport	1	365836	transport-15-高铁行李车厢内的宠物专用运输箱.jpg	高铁宠物运输箱
transport	0	496312	transport-16-高铁行李车厢储物柜.jpg	高铁行李车厢储物柜
transport	1	496312	transport-16-高铁行李车厢储物柜.jpg	行李车厢
transport	0	277602	transport-17-高铁站宠物托运办理区.jpg	高铁站宠物托运办理区
transport	1	277602	transport-17-高铁站宠物托运办理区.jpg	托运办理区
transport	0	256492	transport-18-宠物在高铁专用运输箱内.jpg	宠物在高铁专用运输箱内
transport	1	256492	transport-18-宠物在高铁专用运输箱内.jpg	运输箱内的宠物
transport	0	316736	transport-19-宠物跨城运输车辆内部.jpg	宠物跨城运输车辆内部
transport	1	316736	transport-19-宠物跨城运输车辆内部.jpg	宠物跨城运输车辆内部
transport	1	316736	transport-19-宠物跨城运输车辆内部.jpg	运输车辆内部
